,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Sola,100,TZ,1563031038,67,-3.17,33.8,69.94,4.03
1,Kropotkin,18,RU,1563031040,57,45.43,40.58,72.64,13.44
2,Rikitea,27,PF,1563030649,84,-23.12,-134.97,74.44,13.73
3,Longonjo,0,AO,1563031042,22,-12.91,15.25,78.8,4.7
4,Hobart,40,AU,1563030449,56,-42.88,147.33,44.6,12.75
5,Tuktoyaktuk,61,CA,1563030771,79,69.44,-133.03,41.32,4.63
6,Mataura,100,NZ,1563030664,97,-46.19,168.86,46.0,2.37
7,Busselton,0,AU,1563030773,63,-33.64,115.35,46.0,16.6
8,Vaini,63,IN,1563030573,89,15.34,74.49,78.04,2.33
9,Punta Arenas,75,CL,1563030668,93,-53.16,-70.91,41.0,12.75
10,Pensacola,40,US,1563031047,79,30.42,-87.22,87.01,18.34
11,Lavrentiya,1,RU,1563031052,63,65.58,-170.99,54.64,6.29
12,Toba,75,JP,1563031053,94,34.47,136.83,69.8,8.05
13,Taltal,70,CL,1563031054,52,-25.41,-70.49,62.38,5.84
14,Touros,75,BR,1563031055,69,-5.2,-35.46,82.4,6.93
15,Kapaa,75,US,1563030683,78,22.08,-159.32,78.8,12.75
16,Chokurdakh,67,RU,1563031058,65,70.62,147.9,47.08,5.01
17,Saskylakh,85,RU,1563030578,63,71.97,114.09,54.64,7.85
18,Barrow,0,AR,1563030686,49,-38.31,-60.23,52.12,4.56
19,Yulara,0,AU,1563030840,61,-25.24,130.99,48.2,9.17
20,Ushuaia,75,AR,1563030563,80,-54.81,-68.31,41.0,16.11
21,Jamestown,0,AU,1563030612,92,-33.21,138.6,39.88,1.57
22,Strangnas,56,SE,1563031065,37,59.38,17.03,73.0,5.82
23,New Norfolk,40,AU,1563030719,56,-42.78,147.06,44.6,12.75
24,Kilindoni,0,TZ,1563031068,76,-7.91,39.67,78.22,18.05
25,Port Lincoln,74,AU,1563031069,72,-34.72,135.86,55.18,18.28
26,Hilo,1,US,1563030628,64,19.71,-155.08,69.8,6.93
27,Wittingen,78,DE,1563031072,93,52.73,10.74,70.0,14.99
28,Zhurivka,0,UA,1563031073,35,50.5,31.77,73.4,6.71
29,Ribeira Grande,40,PT,1563030733,88,38.52,-28.7,75.2,9.17
30,Bhaderwah,38,IN,1563031076,83,32.98,75.72,61.12,4.21
31,Tasiilaq,20,GL,1563030617,81,65.61,-37.64,42.8,10.29
32,Montecristo,99,CO,1563031078,75,8.3,-74.47,84.52,1.61
33,Cape Town,0,ZA,1563030621,59,-33.93,18.42,66.0,8.05
34,Saint-Philippe,75,CA,1563030622,78,45.36,-73.48,79.0,10.29
35,Tarko-Sale,100,RU,1563031082,56,64.92,77.78,65.08,8.68
36,Horta,40,BR,1563031083,74,-10.93,-37.66,80.6,13.87
37,Leningradskiy,81,RU,1563031084,91,69.38,178.42,40.6,9.33
38,Pacific Grove,90,US,1563030998,87,36.62,-121.92,64.0,11.45
39,Ponta do Sol,0,BR,1563030847,38,-20.63,-46.0,78.4,1.3
40,Bulaevo,0,KZ,1563031088,77,54.91,70.44,71.56,7.18
41,San Jose,1,HN,1563030930,57,14.25,-87.96,78.8,5.82
42,Rizoma,40,GR,1563031091,33,39.66,21.73,87.8,15.41
43,Geraldton,75,CA,1563031092,63,49.72,-86.95,62.6,12.75
44,Bambous Virieux,75,MU,1563030706,56,-20.34,57.76,71.6,8.05
45,Avarua,100,CK,1563030642,88,-21.21,-159.78,68.0,3.36
46,North Bend,90,US,1563031021,87,43.41,-124.22,63.0,7.52
47,Sao Geraldo do Araguaia,4,BR,1563030876,43,-6.4,-48.55,89.2,7.36
48,El Tigre,18,VE,1563031098,59,8.89,-64.25,84.16,14.7
49,Albany,75,US,1563030538,60,42.65,-73.75,79.0,8.05
50,Salta,75,AR,1563030854,77,-24.79,-65.41,60.8,4.7
51,Kahului,1,US,1563031102,83,20.89,-156.47,77.0,14.99
52,East London,0,ZA,1563030679,72,-33.02,27.91,64.4,8.05
53,Kagoro,78,NG,1563031104,69,9.6,8.38,79.3,4.45
54,Port Alfred,0,ZA,1563030567,88,-33.59,26.89,62.01,6.24
55,Chambas,40,CU,1563031107,59,22.19,-78.91,89.6,16.11
56,Moussoro,45,TD,1563030822,24,13.64,16.49,98.74,0.78
57,Dongsheng,0,CN,1563031110,91,29.72,112.52,71.02,6.64
58,Hami,24,CN,1563031111,27,42.84,93.51,82.18,8.25
59,Tobol,76,SE,1563031112,56,59.83,12.54,71.6,6.93
60,Kruisfontein,0,ZA,1563030986,79,-34.0,24.73,58.06,4.27
61,Guerrero Negro,0,MX,1563030796,90,27.97,-114.04,66.34,8.97
62,Nikolskoye,40,RU,1563031116,67,59.7,30.79,60.01,8.95
63,Lata,79,IN,1563030571,92,30.78,78.62,44.02,5.37
64,Yellowknife,20,CA,1563030792,58,62.45,-114.38,55.0,4.9
65,Elko,0,US,1563030870,47,40.83,-115.76,70.0,1.99
66,Katsuura,75,JP,1563031122,94,33.93,134.5,71.6,2.24
67,Katsina,78,NG,1563031123,36,12.99,7.6,90.82,2.53
68,Arak,0,IR,1563030863,7,34.1,49.69,87.04,15.08
69,Goderich,64,CA,1563030969,64,43.74,-81.71,77.0,14.0
70,Garissa,58,KE,1563030935,42,-0.46,39.64,87.04,23.17
71,Srednekolymsk,92,RU,1563031128,58,67.46,153.71,69.76,8.25
72,Victoria,75,BN,1563030943,83,5.28,115.24,78.8,4.7
73,Tumaco,69,CO,1563031130,83,1.8,-78.82,79.12,16.2
74,Fortuna,0,ES,1563031131,32,38.18,-1.13,96.8,16.11
75,Yining,67,CN,1563031133,97,29.04,114.56,69.22,0.69
76,Kununurra,11,AU,1563031134,37,-15.77,128.74,66.2,5.82
77,Bonfim,0,BR,1563031136,33,-20.33,-44.24,77.0,2.24
